id_category,id_parameter
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
2,11
2,12
2,13
2,14
2,15
2,16
2,17
2,18
2,19
2,20
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
2,37
2,38
2,39
2,40
2,41
2,42
2,43
2,44
2,45
2,46
2,47
4,48
4,49
4,50
4,51
4,52
4,53
4,54
4,55
4,56
4,57
5,58
5,59
5,60
5,61
5,62
5,63
5,64
5,65
5,66
5,67
5,68
5,69
5,70
5,71
5,72
5,73
5,74
5,75
5,76
5,77
5,78
5,79
5,80
6,81
6,82
6,83
6,84
6,85
6,86
6,87
6,88
6,89
6,90
6,91
6,92
6,93
6,94
6,95
6,96
6,97
6,98
6,99
6,100
6,101
6,103
6,104
6,105
6,106
6,107
6,108
7,109
7,110
7,111
7,112
7,113
7,114
7,116
7,117
7,118
7,119
7,120
7,121
7,122
7,123
7,124
7,125
7,126
7,127
7,128
7,129
7,130
7,131
7,132
7,133
8,134
8,135
8,136
8,137
8,138
8,139
8,140
8,141
11,142
11,143
11,144
11,145
11,146
11,147
11,148
11,149
11,150
11,151
11,152
11,153
11,154
11,155
11,156
11,158
14,159
14,160
14,161
14,162
14,163
14,164
14,166
14,168
14,169
14,170
14,172
15,173
15,174
15,175
15,176
15,177
15,178
15,179
15,180
15,181
15,182
15,183
15,184
15,185
15,186
15,187
15,188
15,189
15,190
15,191
15,192
16,193
16,194
17,195
17,196
17,197
17,198
17,199
17,200
17,201
18,202
18,203
18,205
18,206
18,207
18,208
18,209
18,210
18,211
18,212
18,214
18,215
18,216
18,217
18,218
18,219
18,221
18,222
18,223
18,224
18,225
18,226
18,227
18,228
19,229
19,230
19,231
19,232
19,233
19,234
19,235
19,236
19,237
19,238
19,239
19,240
19,241
19,242
20,243
20,244
20,245
20,246
20,247
20,248
20,249
20,250
20,251
20,252
20,253
20,254
20,255
20,256
20,257
20,258
20,259
20,261
20,262
20,263
20,264
20,265
20,266
20,267
20,268
20,269
20,270
20,271
20,272
20,273
20,274
20,275
20,276
20,277
20,278
20,279
20,280
20,281
20,282
21,283
21,284
21,285
21,286
21,287
21,288
21,289
21,290
21,292
21,293
21,294
21,295
21,296
21,297
21,298
21,299
21,300
21,301
21,302
22,303
22,304
22,305
22,306
22,307
22,308
22,309
22,310
22,311
22,312
22,313
22,314
22,315
22,316
22,317
22,318
22,319
22,320
22,321
22,322
22,323
22,324
22,325
22,326
22,327
22,328
22,329
22,330
22,331
22,332
22,333
22,334
23,335
23,336
23,337
23,338
23,340
23,342
23,343
24,344
24,345
24,346
24,348
24,349
24,350
24,351
24,352
24,353
24,354
24,356
24,357
24,358
24,359
26,365
26,367
26,369
26,370
26,372
26,373
26,375
26,376
26,377
26,378
26,379
26,381
28,383
28,384
28,385
28,386
28,387
28,388
29,389
29,390
29,391
29,392
29,393
29,394
29,395
29,396
29,397
29,398
29,399
29,400
29,401
29,402
29,403
29,404
29,405
29,406
30,407
30,410
31,411
31,413
31,414
32,415
32,416
32,417
32,418
32,419
32,420
32,421
32,422
32,423
32,424
32,425
32,426
32,427
32,428
32,429
32,430
32,431
32,432
32,433
32,434
33,435
33,436
33,437
33,438
33,439
33,440
33,441
33,443
33,444
33,445
33,446
33,447
33,449
33,450
33,451
33,452
33,453
33,454
33,456
33,457
33,458
34,459
36,461
36,462
36,463
36,464
36,465
36,466
36,467
36,468
36,469
36,470
36,471
36,472
36,473
36,474
36,475
36,476
36,477
36,478
36,479
36,480
36,481
36,482
36,483
36,484
36,486
36,487
37,488
37,489
37,490
37,491
37,492
37,493
37,494
37,495
37,496
37,497
37,498
37,499
37,500
37,501
37,502
39,503
39,504
39,505
39,507
39,508
39,511
39,512
40,513
40,515
40,516
40,517
40,518
40,519
40,521
40,522
40,524
40,525
40,526
40,528
40,529
40,530
41,531
41,532
41,533
41,534
41,535
41,536
41,537
41,539
41,540
41,541
41,542
41,543
41,545
41,546
41,547
41,548
41,549
41,550
41,551
41,552
41,553
42,556
42,557
42,558
42,559
42,560
42,561
42,562
42,563
42,564
42,565
42,567
42,569
42,571
42,572
42,574
42,575
42,577
42,578
42,579
42,580
42,581
42,583
43,584
43,585
43,586
43,587
43,588
43,589
43,590
43,591
43,592
43,593
43,594
43,596
43,597
43,598
43,599
43,600
43,601
43,602
43,603
43,604
43,605
43,606
43,607
43,608
43,609
43,610
43,611
43,612
44,613
44,614
44,615
44,616
44,617
44,618
44,619
44,620
44,623
44,624
44,625
44,626
44,627
44,628
44,630
44,632
44,633
44,634
44,635
44,636
44,637
44,639
44,640
44,641
44,643
44,644
44,645
45,647
45,648
45,649
45,653
45,655
45,659
45,660
45,664
45,669
45,670
45,671
45,672
45,673
46,674
46,675
46,676
46,677
46,678
46,679
46,680
46,681
46,682
46,683
46,684
46,685
46,686
46,687
46,688
46,689
46,690
46,691
46,692
46,693
46,694
46,695
46,696
46,697
46,698
46,699
46,700
46,701
46,702
47,703
47,704
47,705
47,706
47,707
47,709
47,710
47,711
47,712
47,714
47,715
47,716
47,717
47,718
47,719
47,720
47,721
47,722
47,725
49,727
49,728
49,729
49,730
51,731
51,732
51,733
51,734
51,735
51,736
51,737
51,738
51,739
51,740
51,742
51,744
51,745
51,746
51,747
51,748
51,749
51,750
52,751
52,752
52,754
52,755
52,756
52,757
52,759
52,760
52,761
52,762
52,763
52,764
52,765
53,766
53,767
53,768
53,769
53,770
53,771
55,772
55,773
55,774
55,775
55,777
55,778
55,780
55,781
55,782
55,784
55,785
55,786
55,787
55,788
55,789
55,790
55,791
55,792
56,793
56,794
56,795
56,797
56,798
56,799
56,800
56,801
56,802
56,804
56,805
56,807
56,809
56,812
56,813
56,814
56,816
56,817
56,818
58,819
58,820
58,821
58,822
58,823
58,824
58,825
58,826
58,827
58,828
58,829
58,830
58,831
58,832
58,833
58,834
58,836
58,837
58,838
58,839
58,840
59,841
59,842
59,843
59,845
59,846
59,847
59,848
59,849
59,850
59,851
59,852
59,853
59,854
59,855
59,856
59,857
59,858
59,859
59,860
59,861
59,862
59,863
59,864
60,865
60,868
60,869
60,871
60,872
60,874
60,875
60,876
60,877
60,879
60,881
60,882
60,883
60,884
60,885
61,886
61,887
61,888
61,889
61,890
61,891
61,892
61,893
61,894
61,895
61,896
61,898
62,902
63,903
63,904
63,905
63,906
63,907
63,908
63,909
63,910
63,912
63,913
63,914
63,915
63,916
63,917
63,918
63,919
63,920
63,921
63,922
63,923
63,924
63,925
63,926
63,927
63,928
63,929
63,930
63,931
63,932
63,933
63,934
63,935
63,936
63,937
63,938
63,939
63,940
63,941
63,942
64,943
64,944
64,945
64,946
64,948
64,949
64,950
64,951
64,953
64,954
64,955
64,956
64,957
64,958
64,959
64,960
64,961
64,962
64,963
64,964
64,965
64,966
64,968
64,969
64,971
65,976
65,977
65,982
65,984
65,986
65,988
65,989
65,990
65,991
65,994
65,995
65,996
66,997
66,998
66,999
66,1000
66,1001
66,1002
66,1003
66,1004
66,1005
66,1006
66,1007
66,1008
66,1009
66,1010
66,1011
66,1012
66,1013
66,1014
66,1015
66,1016
66,1017
66,1018
66,1019
66,1020
66,1021
66,1022
66,1023
66,1024
66,1025
66,1026
66,1027
66,1028
66,1029
66,1030
66,1031
68,1032
68,1033
68,1035
68,1036
68,1037
68,1038
70,1042
70,1043
71,1046
71,1047
71,1048
71,1049
71,1050
71,1051
71,1052
71,1053
71,1055
71,1056
71,1057
71,1058
71,1059
71,1060
72,1061
72,1063
72,1064
72,1066
72,1067
72,1068
72,1069
72,1071
72,1072
72,1073
72,1074
72,1075
72,1077
73,1081
73,1082
73,1085
73,1086
74,1087
74,1088
74,1089
74,1090
74,1091
74,1093
74,1094
74,1095
74,1096
74,1097
74,1098
74,1100
74,1101
74,1102
74,1103
74,1104
75,1105
75,1107
75,1108
75,1109
75,1110
75,1111
75,1112
75,1113
75,1114
75,1115
75,1116
75,1117
75,1118
75,1119
75,1120
75,1121
75,1122
75,1124
75,1125
75,1126
75,1128
75,1129
75,1131
75,1132
75,1133
75,1134
75,1136
75,1137
75,1139
76,1141
76,1142
76,1143
76,1144
76,1145
76,1146
76,1147
76,1148
76,1149
76,1150
76,1151
76,1152
77,1154
77,1155
77,1156
77,1157
77,1158
77,1159
77,1161
77,1163
78,1164
78,1165
78,1166
78,1167
78,1168
78,1169
78,1170
78,1171
78,1172
78,1173
78,1174
78,1175
78,1176
81,1177
81,1178
81,1179
81,1180
81,1181
81,1182
81,1183
81,1184
81,1185
81,1186
81,1187
81,1188
81,1189
81,1190
81,1191
81,1192
82,1193
82,1194
82,1195
82,1196
82,1197
82,1198
82,1199
82,1200
82,1201
82,1203
82,1204
82,1205
82,1206
82,1207
82,1208
82,1209
82,1210
82,1211
82,1212
82,1213
82,1214
82,1215
82,1216
82,1217
83,1218
83,1221
83,1222
83,1224
83,1225
83,1226
84,1228
84,1229
84,1230
84,1231
84,1232
84,1233
84,1234
84,1235
84,1238
84,1239
84,1240
84,1241
84,1242
84,1243
84,1244
84,1245
84,1246
84,1248
85,1249
85,1251
85,1252
85,1253
85,1254
85,1255
85,1256
85,1257
85,1262
85,1263
85,1266
85,1267
86,1269
86,1270
86,1271
86,1272
86,1273
86,1274
86,1275
86,1277
86,1279
86,1280
86,1281
86,1282
86,1283
86,1284
86,1285
86,1286
86,1287
86,1288
86,1289
86,1290
86,1291
86,1292
86,1293
86,1295
86,1296
86,1297
86,1298
86,1299
88,1308
88,1309
88,1310
88,1311
88,1312
88,1313
88,1314
88,1315
88,1317
88,1318
88,1319
88,1320
88,1321
88,1322
88,1323
88,1324
88,1325
88,1326
88,1327
88,1328
88,1329
90,1330
90,1331
90,1332
90,1333
90,1334
90,1335
90,1336
90,1337
92,1338
92,1339
92,1340
92,1341
92,1342
92,1343
92,1344
92,1345
92,1346
92,1347
92,1348
92,1349
92,1350
92,1351
92,1352
92,1354
92,1355
92,1356
92,1357
92,1358
92,1359
92,1360
92,1361
92,1363
92,1364
92,1366
92,1367
92,1368
92,1369
92,1370
92,1371
92,1372
92,1373
92,1374
92,1375
92,1376
93,1377
93,1378
93,1379
93,1380
93,1381
93,1382
94,1384
94,1388
95,1389
95,1390
95,1391
95,1392
95,1393
95,1394
95,1395
95,1396
95,1397
95,1398
95,1399
95,1400
95,1401
95,1402
95,1403
95,1405
95,1406
95,1408
95,1409
95,1410
95,1411
96,1413
96,1414
96,1415
96,1416
96,1417
96,1418
96,1420
96,1422
96,1423
96,1424
96,1425
96,1426
96,1427
96,1429
96,1430
96,1431
96,1432
96,1433
96,1434
97,1435
97,1436
97,1439
97,1440
98,1441
98,1442
98,1443
98,1444
98,1445
98,1446
98,1447
98,1448
98,1449
98,1450
98,1451
98,1452
98,1453
98,1454
98,1455
98,1456
98,1457
98,1458
98,1459
98,1460
98,1461
98,1462
98,1464
99,1466
99,1467
99,1468
101,1469
101,1470
102,1472
102,1473
102,1474
102,1476
102,1478
102,1479
102,1480
102,1481
102,1482
103,1483
103,1485
103,1486
104,1487
104,1488
104,1489
104,1490
104,1491
104,1492
104,1493
104,1494
104,1495
104,1496
104,1497
104,1498
104,1499
104,1501
104,1502
104,1503
105,1504
105,1506
105,1507
105,1508
105,1509
105,1510
105,1511
105,1512
105,1513
105,1514
105,1515
105,1517
105,1518
105,1519
105,1520
105,1521
105,1522
105,1523
106,1524
106,1525
106,1526
106,1527
106,1528
106,1529
106,1530
106,1531
107,1532
107,1533
107,1534
107,1535
107,1536
107,1537
107,1538
107,1539
107,1541
107,1542
107,1544
107,1545
107,1546
107,1547
107,1548
107,1549
107,1550
107,1551
107,1552
107,1553
107,1554
107,1555
107,1556
107,1557
107,1559
107,1560
107,1561
107,1562
107,1563
107,1564
107,1565
108,1566
108,1567
108,1568
108,1569
108,1570
108,1571
108,1572
108,1573
108,1574
108,1575
108,1576
108,1577
108,1578
108,1579
108,1580
108,1581
108,1582
108,1583
110,1584
110,1585
110,1586
110,1587
110,1588
110,1589
110,1590
110,1591
110,1592
110,1593
110,1594
110,1595
110,1596
110,1597
110,1598
110,1599
110,1600
110,1601
110,1602
110,1603
111,1604
111,1605
111,1607
111,1609
111,1610
112,1611
112,1612
112,1613
112,1614
112,1615
112,1616
112,1617
112,1618
112,1619
112,1620
112,1621
112,1623
112,1624
112,1625
112,1626
112,1627
112,1628
112,1629
112,1630
112,1631
112,1632
112,1633
112,1634
112,1635
112,1636
112,1637
112,1638
113,1639
113,1640
113,1641
113,1642
113,1643
113,1644
113,1646
113,1647
113,1648
113,1649
116,1650
116,1651
116,1652
116,1653
116,1654
116,1655
116,1656
116,1657
116,1658
116,1659
116,1660
116,1661
116,1662
116,1663
116,1664
116,1665
116,1666
116,1667
116,1668
116,1669
116,1670
116,1671
116,1672
116,1673
116,1674
118,1675
118,1676
118,1677
118,1678
118,1679
118,1680
118,1681
118,1682
118,1683
118,1684
118,1685
118,1686
118,1687
118,1688
118,1689
118,1690
118,1691
118,1692
118,1693
118,1695
118,1696
118,1697
118,1699
118,1700
118,1701
118,1702
118,1703
119,1704
119,1705
119,1706
119,1707
119,1708
119,1709
119,1710
119,1711
119,1712
121,1713
121,1714
121,1715
121,1716
122,1717
122,1719
122,1720
122,1721
122,1724
122,1725
122,1726
122,1727
122,1728
122,1729
122,1730
122,1731
122,1732
122,1733
122,1734
122,1735
122,1736
122,1737
122,1738
122,1739
122,1740
122,1741
122,1742
122,1743
122,1744
122,1745
122,1746
122,1747
122,1749
123,1750
123,1751
123,1752
123,1753
123,1754
123,1755
123,1756
123,1757
123,1758
123,1759
123,1760
124,1761
124,1762
124,1763
124,1764
124,1765
124,1766
124,1767
124,1768
124,1769
124,1770
124,1771
124,1772
124,1773
124,1774
124,1775
124,1776
124,1777
124,1778
124,1779
125,1781
125,1782
125,1783
125,1784
125,1785
125,1786
125,1788
125,1789
125,1790
125,1791
125,1793
125,1794
125,1796
126,1797
126,1798
126,1799
126,1800
126,1801
126,1802
126,1803
126,1804
126,1805
126,1807
126,1808
126,1809
126,1810
126,1811
126,1812
126,1813
126,1814
126,1815
126,1816
126,1817
126,1818
126,1821
126,1822
126,1823
126,1824
126,1825
126,1827
126,1828
126,1829
126,1830
126,1831
126,1832
126,1833
126,1835
126,1836
126,1837
127,1838
127,1839
127,1840
127,1841
127,1843
127,1844
127,1845
127,1846
127,1847
127,1848
127,1849
127,1850
127,1851
127,1852
127,1853
127,1854
127,1855
127,1856
127,1857
127,1858
127,1859
127,1860
127,1862
127,1863
127,1864
127,1865
127,1866
127,1867
127,1868
127,1870
127,1871
127,1873
127,1874
127,1875
127,1876
128,1877
128,1878
128,1879
128,1881
128,1882
128,1883
128,1884
128,1885
128,1886
128,1887
128,1888
128,1889
128,1891
128,1893
128,1894
128,1895
128,1896
128,1897
128,1899
130,1900
130,1901
130,1902
130,1903
130,1904
130,1905
130,1906
130,1907
130,1908
130,1910
130,1911
130,1912
130,1914
130,1915
130,1916
130,1917
130,1918
130,1919
130,1920
130,1921
130,1922
130,1923
130,1925
130,1926
130,1927
130,1928
130,1930
130,1931
130,1933
131,1934
131,1935
131,1936
132,1939
132,1941
132,1943
132,1944
132,1945
132,1946
132,1947
132,1948
132,1949
132,1951
132,1952
132,1953
132,1954
132,1956
132,1958
132,1959
132,1960
132,1961
132,1962
133,1963
133,1964
133,1965
133,1966
133,1967
133,1968
133,1969
133,1970
133,1971
133,1972
133,1974
133,1975
133,1976
133,1977
133,1978
133,1979
133,1980
133,1981
133,1982
133,1983
134,1984
134,1985
134,1986
134,1987
134,1988
134,1989
134,1990
134,1992
134,1993
134,1994
134,1995
134,1996
134,1997
134,1998
134,1999
138,2001
138,2002
138,2003
138,2004
138,2005
138,2006
138,2007
139,2008
139,2009
139,2010
139,2011
139,2012
139,2013
139,2014
139,2015
139,2016
139,2017
139,2018
139,2019
139,2020
139,2021
139,2022
139,2023
139,2024
139,2025
139,2026
140,2027
140,2028
140,2030
140,2031
140,2032
140,2033
140,2034
140,2035
140,2036
140,2038
140,2039
140,2040
140,2041
140,2044
140,2045
142,2048
142,2050
142,2051
142,2052
144,2053
144,2054
144,2055
144,2056
144,2057
144,2058
144,2059
144,2060
144,2061
144,2062
144,2063
144,2064
144,2065
144,2066
144,2067
144,2068
144,2069
145,2070
145,2071
145,2072
145,2073
148,2074
148,2076
148,2077
148,2078
148,2079
148,2080
148,2082
148,2085
149,2086
149,2087
149,2088
149,2089
149,2090
149,2091
149,2092
149,2093
149,2094
149,2095
149,2097
149,2098
149,2099
149,2100
149,2101
149,2102
149,2103
149,2104
149,2105
149,2106
149,2107
149,2108
149,2109
149,2110
149,2111
149,2112
149,2113
149,2114
149,2115
149,2116
149,2117
151,2142
151,2143
151,2144
151,2145
151,2146
151,2147
151,2148
151,2149
151,2150
151,2151
151,2152
151,2153
151,2154
151,2155
151,2156
152,2158
152,2159
152,2160
152,2161
153,2163
153,2164
153,2165
153,2166
153,2167
153,2170
154,2172
154,2174
154,2175
154,2176
154,2177
154,2180
154,2181
154,2182
154,2184
155,2187
155,2189
155,2190
155,2191
155,2192
155,2193
155,2195
155,2197
155,2198
156,2199
156,2200
156,2203
156,2204
156,2205
156,2207
156,2209
156,2212
156,2214
156,2215
156,2216
156,2217
156,2218
157,2221
157,2222
157,2224
157,2225
157,2226
157,2227
157,2228
157,2229
157,2233
157,2234
157,2236
157,2237
157,2238
157,2240
157,2243
159,2244
159,2245
159,2250
159,2253
159,2254
159,2259
159,2262
159,2263
159,2264
